Company Name,GICS Sector Name,Year,ROA,ROE,Q_Ratio
3M Co,Industrials,2004,0.1613,0.32770000000000005,2.867181058127647
3i Group PLC,Financials,2004,0.024300000000000002,0.039,0.2940139733108929
A2A SpA,Utilities,2004,0.01104666956140534,0.1222,0.16509455387088476
ACS Actividades de Construccion y Servicios SA,Industrials,2004,0.0404,0.2615,0.28224056375881457
AGC Inc,Industrials,2004,0.027699553832757365,0.077,0.8331945708689154
ANA Holdings Inc,Industrials,2004,0.010774105575026935,0.14800000000000002,0.29332486168426364
ANZ Group Holdings Ltd,Financials,2004,0.023627,0.177041,0.03784825015575429
AP Moeller - Maersk A/S,Industrials,2004,0.0848,0.1746,0.5109919664745841
ASML Holding NV,Information Technology,2004,0.08898999999999999,0.2007,0.19262225445643405
ASX Ltd,Financials,2004,0.33486499999999997,0.428249,0.2174834394577887
AT&T Inc,Communication Services,2004,0.0329,0.0875,0.6571012663623372
Abb Ltd,Industrials,2004,0.0374,0.25295,0.5020525946439999
Accenture PLC,Information Technology,2004,0.1566,0.8264,2.7218168188366385
Acciona SA,Utilities,2004,0.0318,0.1005,0.19827898388943463
Accor SA,Consumer Discretionary,2004,0.0365,0.11798,0.910938257782947
Ackermans & Van Haaren NV,Industrials,2004,0.07048,0.25190999999999997,0.08684352144642736
Adecco Group AG,Industrials,2004,0.06822,0.2316,0.6902297157801208
Adidas AG,Consumer Discretionary,2004,0.08380000000000001,0.19957999999999998,0.4471214504595382
Admiral Group PLC,Financials,2004,0.1371,0.51968,0.20474897307713555
Adobe Inc,Information Technology,2004,0.2353,0.30799,9.105762008199761
Advanced Micro Devices Inc,Information Technology,2004,0.037759999999999995,0.0821,1.6965562366630076
Advantest Corp,Information Technology,2004,0.08093184225864201,0.17800000000000002,2.268033872682799
Aegon Ltd,Financials,2004,0.0087,0.1247,0.07821416687858104
Aeon Co Ltd,Consumer Staples,2004,0.006618720407655706,0.11199999999999999,0.434998421169915
Agilent Technologies Inc,Health Care,2004,0.0492,0.08039999999999999,2.422939925822841
Agnico Eagle Mines Ltd,Materials,2004,0.0489,0.0728,0.06383102405621026
Airbus SE,Industrials,2004,0.0219,0.1003,0.23054437667083513
Aisin Corp,Consumer Discretionary,2004,0.014380658735855022,0.08800000000000001,0.3526229948743635
Ajinomoto Co Inc,Consumer Staples,2004,0.03561856248688871,0.1,0.5673013368936076
Akamai Technologies Inc,Information Technology,2004,0.08922000000000001,0.12743000000000002,3.397713715192053
Akzo Nobel NV,Materials,2004,0.07885,0.3041,0.899131478692903
Albemarle Corp,Materials,2004,0.0431,0.11789999999999999,0.6996005297935763
Alfa Laval AB,Industrials,2004,0.0584,0.1597,0.30109994774601717
Alliant Energy Corp,Utilities,2004,0.0348,0.111,0.42231425778536424
Allianz SE,Financials,2004,0.00441,0.10331,0.05455926415355151
Allstate Corp,Financials,2004,0.0101,0.0784,0.22471683236352452
Alphabet Inc,Communication Services,2004,0.1711,0.177,11.936656017431392
Alstom SA,Industrials,2004,-0.015600000000000001,-0.41979999999999995,0.22047220492977157
Altria Group Inc,Consumer Staples,2004,0.09880000000000001,0.2988,1.4413714432422717
Amazon.com Inc,Consumer Discretionary,2004,0.0971,1.4593,5.287440776433983
Ameren Corp,Utilities,2004,0.0346,0.0987,0.57602672505861
American Express Co,Financials,2004,0.028300000000000002,0.2928,0.5606995898057213
American International Group Inc,Financials,2004,0.0102,0.1013,0.2076057842963082
American Tower Corp,Real Estate,2004,-0.015300000000000001,-0.0296,1.2701095835665415
Amgen Inc,Health Care,2004,0.1373,0.1967,3.322472088967471
Amphenol Corp,Information Technology,2004,0.10679999999999999,0.2994,2.0355251960114615
Andritz AG,Industrials,2004,0.06214,0.26102000000000003,0.16913507873326958
Anglo American PLC,Materials,2004,0.07092999999999999,0.13513999999999998,0.784415740677506
