Company Name,GICS Sector Name,Year,ESG,E,S,G,ROE,ROA,Q_Ratio
3i Group PLC,Financials,2004,56.3345714535042,34.4122023809524,42.0693779904306,82.9001538774207,0.039,0.024300000000000002,0.2940139733108929
ANZ Group Holdings Ltd,Financials,2004,31.2189520208753,79.116473149492,53.9525207286812,71.5780998389694,0.177041,0.023627,0.03784825015575429
ASML Holding NV,Information Technology,2004,51.4162965461667,45.0694444444445,52.3665223665223,57.4646464646465,0.2007,0.08898999999999999,0.19262225445643405
ASX Ltd,Financials,2004,41.9515042290442,26.4756944444445,29.2464114832536,65.2657004830918,0.428249,0.33486499999999997,0.2174834394577887
Accenture PLC,Information Technology,2004,43.2489576807587,0.0,41.9971537001898,57.3015873015873,0.8264,0.1566,2.7218168188366385
Admiral Group PLC,Financials,2004,40.4960580096797,28.3333333333333,27.8473581213307,68.7515605493134,0.51968,0.1371,0.20474897307713555
Adobe Inc,Information Technology,2004,49.6539448591259,7.07070707070707,71.5501792114695,43.5738255033557,0.30799,0.2353,9.105762008199761
Advanced Micro Devices Inc,Information Technology,2004,43.5139744551697,35.3935185185185,29.5093795093795,76.366103239705,0.0821,0.037759999999999995,1.6965562366630076
Advantest Corp,Information Technology,2004,38.1161989739656,33.8657407407408,12.5829725829726,85.3465723989742,0.17800000000000002,0.08093184225864201,2.268033872682799
Aegon Ltd,Financials,2004,52.6061528527282,52.7777777777778,53.5355512067841,60.9090909090909,0.1247,0.0087,0.07821416687858104
Akamai Technologies Inc,Information Technology,2004,43.955710076857,0.0,30.3557874762809,68.8534675615213,0.12743000000000002,0.08922000000000001,3.397713715192053
Allianz SE,Financials,2004,63.587411404763,59.4444444444444,53.4833659491194,86.2008978675645,0.10331,0.00441,0.05455926415355151
Allstate Corp,Financials,2004,46.4643238921677,28.4210526315789,47.0384294068505,61.2826420890937,0.0784,0.0101,0.22471683236352452
American Express Co,Financials,2004,47.6978428638301,25.8145363408521,43.5296048934295,72.5198856574696,0.2928,0.028300000000000002,0.5606995898057213
American International Group Inc,Financials,2004,14.6439485811303,28.4210526315789,12.5187969924812,22.0046082949309,0.1013,0.0102,0.2076057842963082
Amphenol Corp,Information Technology,2004,23.826192129247,14.1025641025641,41.6025641025641,17.2091722595078,0.2994,0.10679999999999999,2.0355251960114615
Aon PLC,Financials,2004,33.4547462076514,28.3333333333333,36.692759295499,77.5905118601748,0.1424,0.027149999999999997,0.41335549606388333
Applied Materials Inc,Information Technology,2004,43.347908616365,24.6990740740741,37.6767676767676,75.0838926174497,0.12186,0.09681,2.558168595102544
Assicurazioni Generali SpA,Financials,2004,40.3125172138871,32.2222222222222,54.1095890410959,36.3571428571429,0.11939999999999999,0.0058,0.07994691044382891
Assurant Inc,Financials,2004,20.3253041586222,28.3333333333333,8.6692759295499,40.6991051454139,0.1373,0.02,0.2244277614399396
Autodesk Inc,Information Technology,2004,19.2552007432696,0.0,5.88256614715477,36.5470852017937,0.3998,0.2325,7.308042484142204
BNP Paribas SA,Financials,2004,43.0805255007437,30.6701359881184,53.6705157859243,43.7798425603304,0.14,0.00515,0.02422393604155444
BOC Hong Kong Holdings Ltd,Financials,2004,27.1659147869674,25.8145363408521,19.5549357264128,48.5185185185185,0.185787,0.015343,0.041009274900571116
Baloise Holding AG,Financials,2004,37.0228751681998,34.4444444444444,23.7377690802348,62.8260869565218,0.068,0.0036,0.034921904191333564
Banca Monte dei Paschi di Siena SpA,Financials,2004,59.6733930354341,91.1285737491878,63.0931183190076,53.7380952380952,0.10880000000000001,0.0053,0.0901022047850676
Banco BPM SpA,Financials,2004,20.2827067669173,25.8145363408521,28.7957797720107,16.6666666666667,0.1539,0.0105,0.036683839806199194
Banco Bilbao Vizcaya Argentaria SA,Financials,2004,68.0065323878803,72.9517659890466,62.3656406949711,85.1587301587302,0.2961,0.0105,0.07570996109818388
