Descriptive Statistics for Financials Companies
Generated: 2025-04-15 05:05:11

               ROA          ROE      Q_Ratio  ...            E            S            G
count  3505.000000  3505.000000  3505.000000  ...  3505.000000  3505.000000  3505.000000
mean      2.436359    13.328671     0.633101  ...    58.811887    56.005177    58.795326
std       3.352272     6.808385     3.167175  ...    28.102591    21.741183    22.365462
min       0.249543     0.370000     0.003388  ...     0.000000     1.862803     0.837004
25%       0.676000     8.730000     0.068237  ...    30.690383    39.750831    42.704082
50%       1.080000    11.950000     0.137930  ...    65.383471    57.649471    61.595626
75%       2.780000    16.380000     0.408286  ...    84.465827    73.508567    77.046436
max      19.611000    47.159000   110.185275  ...    99.141594    97.655269    99.207873

[8 rows x 7 columns]
