Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
A2.MI,A2A SpA,Multi-Utilities,ELECTRONIC SHARE MARKET,0.16190000000000002,0.1047,0.1381,0.1067,0.12109,0.1144,0.135,0.08353999999999999,0.10641,0.06518,0.022000000000000002,0.0638,0.0536,0.08566000000000001,0.02168,0.06704,0.06628,0.06253,0.09569000000000001,0.1222
AALB.AS,Aalberts NV,Machinery,EURONEXT - EURONEXT AMSTERDAM,0.15609,0.16679,0.17219,0.1114,0.15449,0.175,0.1664,0.16079999999999997,0.15789999999999998,0.1536,0.1509,0.1673,0.18437,0.17097,0.08804000000000001,0.18663,0.27655,0.29006,0.2979,0.2414
ABBN.S,Abb Ltd,Electrical Equipment,SIX SWISS EXCHANGE,0.28600000000000003,0.1746,0.1887,0.1421,0.1929,0.1973,0.16765,0.19920000000000002,0.1801,0.1485,0.1875,0.18469999999999998,0.22899999999999998,0.1998,0.21037,0.26742,0.37317,0.32707,0.25295,0.133
ANA.MC,Acciona SA,Electric Utilities,BOLSA DE MADRID,0.10939,0.095,0.085,0.1114,0.10490000000000001,0.0689,0.057999999999999996,0.03982,0.06017,0.05596,0.05485,0.0358,0.0318,0.029009999999999998,0.025009999999999998,0.07898,0.11525,0.3397,0.1005,0.0764
ACCP.PA,Accor SA,"Hotels, Restaurants & Leisure",EURONEXT - EURONEXT PARIS,0.1472,0.0805,-0.171,-0.29309,0.0479,0.0719,0.06709999999999999,0.10736000000000001,0.11866,0.16353,0.10890000000000001,0.10958999999999999,0.0392,-0.01956,0.10343999999999999,0.15721,0.16271000000000002,0.11699999999999999,0.11798,0.079
ACKB.BR,Ackermans & Van Haaren NV,Construction & Engineering,EURONEXT - EURONEXT BRUSSELS,0.08359,0.165,0.1082,0.06549,0.1191,0.0942,0.1051,0.0832,0.11342,0.16373000000000001,0.0867,0.08612,0.09880000000000001,0.09725,0.07361,0.0584,0.11402,0.1063,0.25190999999999997,0.0973
ACS.MC,ACS Actividades de Construccion y Servicios SA,Construction & Engineering,BOLSA DE MADRID,0.1434,0.1125,0.1373,0.13470000000000001,0.20339,0.1631,0.2192,0.21379,0.21098,0.21344000000000002,0.23684000000000002,0.2323,0.25370000000000004,0.1718,0.19498000000000001,0.10013,0.16462,0.28358,0.2615,0.2236
ADDTb.ST,Addtech AB,Trading Companies & Distributors,NASDAQ STOCKHOLM AB,0.2708,0.3041,0.2786,0.2161,0.30809000000000003,0.2838,0.2683,0.2704,0.2207,0.28,0.3,0.29914999999999997,0.33213000000000004,0.30184,0.18059,0.35388,0.46104,0.49559,0.41505000000000003,0.2737
ADEN.S,Adecco Group AG,Professional Services,SIX SWISS EXCHANGE,0.1338,0.1426,0.188,0.11320000000000001,0.2146,0.154,0.2181,0.2152,0.20850000000000002,0.1827,0.1628,0.12390000000000001,0.1499,0.13140000000000002,0.07776,0.22191,0.27288,0.26314,0.2316,0.1819
ADSGn.DE,Adidas AG,"Textiles, Apparel & Luxury Goods",XETRA,-0.0121,0.04059,0.21359000000000003,0.0652,0.3,0.26538,0.1698,0.16760000000000003,0.11199999999999999,0.08818,0.1555,0.14880000000000002,0.135,0.1352,0.06497,0.19956,0.18773,0.17412,0.19957999999999998,0.21059999999999998
ADML.L,Admiral Group PLC,Insurance,LONDON STOCK EXCHANGE,0.34740000000000004,0.316,0.7923,0.4914,0.5025999999999999,0.5627,0.5449,0.37450000000000006,0.49,0.52,0.59,0.6079,0.59,0.59585,0.52161,0.56484,0.5579999999999999,0.51801,0.51968,0.6192
AEGN.AS,Aegon Ltd,Insurance,EURONEXT - EURONEXT AMSTERDAM,0.052300000000000006,-0.01,0.0374,0.061500000000000006,0.0786,0.0874,0.07440000000000001,0.061,0.0556,0.0533,0.0564,0.03248,0.050069999999999996,0.07345,0.01081,-0.08202,0.10752,0.11192,0.1247,0.13269999999999998
AGES.BR,Ageas SA,Insurance,EURONEXT - EURONEXT BRUSSELS,0.12699,0.12300000000000001,0.07200000000000001,0.10019,0.0949,0.0851,0.065,0.02511,0.079,0.050730000000000004,0.061799999999999994,0.07062,-0.0387,0.025539999999999997,0.14275000000000002,-0.02939,0.14329,0.21117999999999998,0.22305,0.2143
AIR.PA,Airbus SE,Aerospace & Defense,EURONEXT - EURONEXT PARIS,0.32789,0.40590000000000004,0.4696,0.17149,0.6007,0.3506,0.3335,0.5325,0.41391,0.2643,0.22210000000000002,0.1906,0.1199,0.05708,0.16146000000000002,0.12938,-0.02742,0.0075,0.1003,0.05468
AIXGn.DE,Aixtron SE,Semiconductors & Semiconductor Equipment,XETRA,0.2016,0.16,0.17589,0.0728,0.0712,0.11485,0.0177,-0.06269999999999999,-0.0718,-0.1419,-0.21600000000000003,-0.2648,0.1295,0.3797,0.10825,0.11183,0.09023999999999999,0.031869999999999996,-0.33358,0.0542
AKZO.AS,Akzo Nobel NV,Chemicals,EURONEXT - EURONEXT AMSTERDAM,0.11789,0.0858,0.1348,0.128,0.09720000000000001,0.053099999999999994,0.16579999999999998,0.1542,0.15039999999999998,0.11630000000000001,0.10300000000000001,0.09613,0.0747,0.08997999999999999,0.07006,0.08843999999999999,0.07536,0.22248,0.3041,0.2647
ALFA.ST,Alfa Laval AB,Machinery,NASDAQ STOCKHOLM AB,0.20149,0.1335,0.15599,0.1258,0.2148,0.2464,0.18420000000000003,0.21170000000000003,0.217,0.2515,0.2354,0.24600999999999998,0.2288,0.24181999999999998,0.22373,0.40954999999999997,0.42484,0.26685,0.1597,0.1195
ALVG.DE,Allianz SE,Insurance,XETRA,0.15539,0.1025,0.08220000000000001,0.08789999999999999,0.11710000000000001,0.11774,0.1024,0.11380000000000001,0.10679999999999999,0.11226000000000001,0.1157,0.105,0.056900000000000006,0.11900000000000001,0.10698,0.09734999999999999,0.14723,0.13503,0.10331,0.07400000000000001
AMPF.MI,Amplifon SpA,Health Care Providers & Services,ELECTRONIC SHARE MARKET,0.145,0.18178999999999998,0.18280000000000002,0.135,0.19699999999999998,0.1697,0.1318,0.13403,0.1143,0.08683,0.057699999999999994,0.10529999999999999,0.1162,0.10844,0.13327,0.08756,0.11936999999999999,0.21295999999999998,0.36512,0.1855
ANDR.VI,Andritz AG,Machinery,WIENER BOERSE AG AMTLICHER HANDEL (OFFICIAL MARKET),0.23399999999999999,0.23929999999999998,0.2299,0.16809000000000002,0.1014,0.1681,0.2,0.2175,0.2438,0.295,0.057,0.23399999999999999,0.247,0.223,0.15381999999999998,0.26382,0.29625,0.31882,0.26102000000000003,0.20679999999999998
AAL.L,Anglo American PLC,Metals & Mining,LONDON STOCK EXCHANGE,0.11199999999999999,0.2189,0.33270000000000005,0.1288,0.1433,0.139,0.1559,0.1242,0.0385,0.07629999999999999,0.07719999999999999,0.07397999999999999,0.16691,0.16488,0.09284,0.22727,0.22392,0.20001999999999998,0.13513999999999998,0.111
