Identifier,Company Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
ADML.L,Admiral Group PLC,77.8203418537281,78.3419157896145,67.907021760929,44.9317545199898,39.945725377143,36.4762465501229,38.8935008726207,35.7274220032841,30.6920210466694,29.0399610136452,35.2004313812578,33.7180225093199,33.8472045252712,38.1120600414079,35.2741071428571,38.5771889400922,38.8841118754333,53.8097738720394,27.2093023255814,28.3333333333333
ALWA.L,Alliance Witan PLC,63.8271604938272,64.096449390567,77.887537993921,78.2598039215686,75.3968253968254,68.974358974359,75.3373819163293,79.3181818181818,76.5795206971677,41.6666666666667,50.0,58.3333333333333,0.0,41.6666666666667,33.3333333333333,25.0,8.33333333333333,8.33333333333333,8.33333333333333,16.6666666666667
AAL.L,Anglo American PLC,78.2998962704512,77.4757654324917,83.1164958275828,80.9434364085527,82.6321253568737,83.2767570522131,85.544660418836,86.4524290011705,85.5201561974948,84.5390262400765,83.5033772718018,85.4454343852428,83.1259950523584,84.7289388983643,82.7060332623753,77.3211578179865,65.4371273836071,28.2515073212748,57.4609003127975,84.5500168145485
AHT.L,Ashtead Group PLC,37.5262096287461,35.4261294261294,33.6755184665415,30.2869732877531,30.4651568850352,27.9070061759644,24.7629793792276,26.0591573383085,35.4943543054355,15.5592365151189,13.4747583243824,10.5222734254992,4.52898550724637,4.84496124031007,3.77777777777777,5.02645502645502,0.0,1.21951219512195,0.0,0.0
AZN.L,AstraZeneca PLC,91.3276433485682,93.3467141387187,93.0442499333689,92.5739254783373,91.7491670633032,91.2742579908676,91.4070777707141,91.2926399443253,91.5917077400511,90.6318699081857,91.4438355890925,93.0709580274798,88.5668479558197,91.6570948312089,88.791568338782,79.5627245095331,73.9433811802233,61.6735537190083,47.65625,42.8977272727273
BAES.L,BAE Systems PLC,83.1689305585624,70.775998195353,73.5542492859213,62.4950901904971,61.1583845981478,61.9649323422908,57.0673224563385,65.9366704287145,51.9338987080923,56.5907554244268,63.6894151600034,71.0680782873296,66.6801948051948,65.6353861192571,59.505772005772,30.6324110671937,35.5169340463458,34.5454545454545,43.1818181818182,51.1019283746557
BP.L,BP PLC,90.0482593249447,89.7756456966445,84.1787829226637,80.468781151759,85.1602203556796,84.7138309574547,78.7418012344102,80.629743332982,79.3992184194252,83.8000767039229,82.7446491299305,80.3302354863995,77.2455314997274,77.5644137038385,80.704978180843,86.832981956525,69.7644134514236,65.6845605375017,55.6479284927561,46.4704792490119
BAB.L,Babcock International Group PLC,54.4502373945748,58.1692852072042,57.3007637523767,49.3090653189175,39.2967896996906,31.1463490134748,28.8897377132671,26.9743221012953,25.1786972717205,22.6258585337176,28.9965986394558,26.5096736368966,28.0152545866832,33.047619047619,32.0908593322386,26.016210739615,8.46560846560847,3.52733686067019,15.5202821869489,0.0
BALF.L,Balfour Beatty PLC,79.668554606668,78.485857790287,74.3923800467974,72.5269701297099,69.8092912378627,69.7912498332666,66.2743398702976,66.7015958139044,47.0693422807244,75.3684807256236,76.0017805571841,84.9581040428498,84.2857142857143,81.9358610737921,88.2682783157796,52.526455026455,48.4832451499118,43.9783320735702,40.6084656084656,35.6150793650794
BARC.L,Barclays PLC,94.133742412246,95.2278753926328,94.5658330405528,94.469998832026,94.7730834739323,87.4235410895164,78.5887746997745,76.4609078224412,82.8250643119095,79.2526274004915,79.5749772530358,78.5612526161028,81.5648378020523,82.6828209136703,89.9979078576462,90.2491599793758,95.1989126693286,83.3802537125322,87.882736387502,88.7145525851666
