Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,44.015231099505,40.4246542738642,55.2874219239166,51.8545850669461,52.9524271821541,51.234187677693,55.8111473895431,53.5454728927837,43.3052492755554,45.5184808237488,58.0096757378807,60.8623570116912,58.8638169143334,58.9971027943601,56.5297590320381
ASMI.AS,ASM International NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,49.5510085358252,51.0989162404077,47.3894725365573,64.3301234525469,62.0623400362848,66.5572899984598,63.5415258897752,62.0882740854605,63.2451543383973,69.0647428789691,70.8030213350162
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,51.4162965461667,41.3023540091209,53.2690265350721,53.9922878683794,57.4872215391326,57.8575635454518,63.1220102635195,60.1159387840569,59.5289724896618,55.8413448584938,64.6991559983802,60.5273666713485,62.4773754325075,70.0568208265092,75.3117361950107,78.2649316493349,75.3988812461111,76.6404210205783,75.1360879262803,74.3456039513625
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",43.2489576807587,32.4375890452306,37.341561981106,55.4673257957187,69.071627255889,72.6574775378903,78.3129439583643,74.2094105345249,71.701227408967,72.9108497320474,72.5482858483479,86.8493126422653,78.8057802863872,81.6888441600677,83.2695429745692,81.1826707873447,79.9592265124259,80.9316962650954,82.1529276463384,81.4273560779692
ADBE.OQ,Adobe Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),56.078432824328,49.6539448591259,46.4097840701635,52.3473563235166,55.9338534927804,57.1317838987435,51.0102333925202,52.6118045689539,71.575130668212,68.6046252063682,74.0585202014267,70.261748087117,75.0652024433827,78.6135950826455,78.5795726376914,78.8229011116629,65.9664581528856,74.6196317864237,75.5981532299879,70.3975930566196
AMD.OQ,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),36.8415284323492,43.5139744551697,46.2190650595519,37.8910834080637,67.8432843333152,66.9501677821984,64.8597125309428,67.3695019963743,64.9137840309992,65.7813713207677,65.9292495382716,63.7096645484602,80.1271524061359,71.7274758472636,70.761698926001,68.3460748889787,67.0847209404432,65.7684815481892,71.0958948156696,67.6656277577858
6857.T,Advantest Corp,Semiconductors & Semiconductor Equipment,TOKYO STOCK EXCHANGE,38.1161989739656,44.5707762413073,41.205917187106,55.7869763406199,65.587666215584,67.948843032227,71.9926248718074,67.3469370021827,70.5700610548185,69.9796838775584,70.1816031603572,72.5571365349567,72.1633816089957,73.4759681790674,76.4926599926345,79.72850625388,78.1221477981776,76.055235781746,71.5494469394106,68.7430161866534
AKAM.OQ,Akamai Technologies Inc,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),,43.955710076857,35.7796202646907,38.8313903799458,20.9160412325289,21.8540651304274,26.1857414191078,31.6234125073192,26.1547577066025,42.3010677597765,42.6257232558361,48.2449744394519,58.0587241977242,65.3594960536758,61.3890468042617,51.8852667753773,56.8021948487212,63.0153538870773,74.2396674057193,70.4274661904899
APH.N,Amphenol Corp,"Electronic Equipment, Instruments & Components","NEW YORK STOCK EXCHANGE, INC.",23.826192129247,25.1448747119073,35.046197583511,19.450403585405,27.3848802028286,26.6017288769662,27.7034854370197,25.894438853282,23.1409621463978,22.2528751987305,29.8916855875543,22.9759490002897,57.12512027283,58.9059180670723,64.7408354521076,64.0929564826024,69.661254917824,70.901458630312,69.6063376374251,75.3621745274374
ADI.OQ,Analog Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),,28.3237518407281,43.1386995528246,44.54181393388,47.823962014224,78.7676574143516,74.4794087247735,75.8332848067883,71.4736778619043,79.8725366139633,77.2508058927006,74.5674378586484,69.8796945491776,71.8419514234517,76.7575577795304,72.0595840099283,72.951131547797,74.3024460633779,68.3981398511078,68.9043629739622
AAPL.OQ,Apple Inc,"Technology Hardware, Storage & Peripherals",NASDAQ/NGS (GLOBAL SELECT MARKET),,,51.7468919045658,44.975353646514,37.2803730571511,52.8189256206799,61.9335515995347,59.8853127051985,52.6378122002175,56.5544715637008,60.2998167054345,56.1742594117773,54.2146680994042,61.5580660504009,67.966002996612,71.1083321827924,68.9304278011879,76.8954413453158,82.214731912482,77.7315064321427
