Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),7322875000.0,6687945000.0,6324314000.0,5940590000.0,4838887000.0,3265964000.0,2941623000.0,2800526000.0,2729904000.0,2752879000.0,2722382000.0,2607417000.0,2448470000.0,2126876000.0,1920182000.0,1864514000.0,969292000.0,902696000.0,305509000.0,239646000.0
ASML.OQ,ASML Holding NV,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),44096873517.045,38848886986.3014,34366687129.1181,33301660967.2692,25367800372.1723,23094894026.975,21819435947.2655,18088689024.3902,14438408575.0589,14763134337.3858,15825562855.6505,9777417141.65083,9399113268.60842,8267484449.20072,5388751932.65762,5506484393.56453,5942268582.68291,5213754107.23004,4447155424.52551,4397909350.97686
ADBE.OQ,Adobe Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),29779000000.0,27165000000.0,27241000000.0,24284000000.0,20762400000.0,18768682000.0,14535556000.0,12697246000.0,11726472000.0,10785829000.0,10380298000.0,10040229000.0,8991183000.0,8141148000.0,7282237000.0,5821598000.0,5713679000.0,5962548000.0,2440315000.0,1958632000.0
AMD.OQ,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),67885000000.0,67580000000.0,12419000000.0,8962000000.0,6028000000.0,4556000000.0,3552000000.0,3321000000.0,3084000000.0,3767000000.0,4337000000.0,4000000000.0,4954000000.0,4964000000.0,9078000000.0,7672000000.0,11550000000.0,13147000000.0,7288000000.0,7844210000.0
GOOG.OQ,Alphabet Inc,Interactive Media & Services,NASDAQ/NGS (GLOBAL SELECT MARKET),402392000000.0,365264000000.0,359268000000.0,319616000000.0,275909000000.0,232792000000.0,197295000000.0,167497000000.0,147461000000.0,129187000000.0,110920000000.0,93798000000.0,72574000000.0,57851000000.0,40496778000.0,31767575000.0,25335806000.0,18473351000.0,10271813000.0,3313351000.0
GOOGL.OQ,Alphabet Inc,Interactive Media & Services,NASDAQ/NGS (GLOBAL SELECT MARKET),402392000000.0,365264000000.0,359268000000.0,319616000000.0,275909000000.0,232792000000.0,197295000000.0,167497000000.0,147461000000.0,129187000000.0,110920000000.0,93798000000.0,72574000000.0,57851000000.0,40496778000.0,31767575000.0,25335806000.0,18473351000.0,10271813000.0,3313351000.0
AMZN.OQ,Amazon.com Inc,Broadline Retail,NASDAQ/NGS (GLOBAL SELECT MARKET),527854000000.0,462675000000.0,420549000000.0,321195000000.0,225248000000.0,162648000000.0,131310000000.0,83402000000.0,64747000000.0,54505000000.0,40159000000.0,32555000000.0,25278000000.0,18797000000.0,13813000000.0,8314000000.0,6485000000.0,4363000000.0,3696000000.0,3248508000.0
AEP.OQ,American Electric Power Company Inc,Electric Utilities,NASDAQ/NGS (GLOBAL SELECT MARKET),96684000000.0,93403300000.0,87668700000.0,80757200000.0,75892300000.0,68802800000.0,64729100000.0,63467700000.0,61683100000.0,59544600000.0,56414000000.0,54367000000.0,52223000000.0,50455000000.0,48348000000.0,45155000000.0,40319000000.0,37987000000.0,36172000000.0,34636000000.0
AMGN.OQ,Amgen Inc,Biotechnology,NASDAQ/NGS (GLOBAL SELECT MARKET),97154000000.0,65121000000.0,61165000000.0,62948000000.0,59707000000.0,66416000000.0,79954000000.0,77626000000.0,71449000000.0,69009000000.0,66125000000.0,54298000000.0,48871000000.0,43486000000.0,39629000000.0,36427000000.0,34639000000.0,33788000000.0,29297000000.0,29221000000.0
ADI.OQ,Analog Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),48794478000.0,50302350000.0,52322071000.0,21468603000.0,21392641000.0,20438366000.0,21141294000.0,7970278000.0,7058777000.0,6859690000.0,6381750000.0,5620347000.0,5277635000.0,4328831000.0,3369407000.0,3090992000.0,2970942000.0,3986851000.0,4583211000.0,4723271000.0
AAPL.OQ,Apple Inc,"Technology Hardware, Storage & Peripherals",NASDAQ/NGS (GLOBAL SELECT MARKET),364980000000.0,352583000000.0,352755000000.0,351002000000.0,323888000000.0,338516000000.0,365725000000.0,375319000000.0,321686000000.0,290345000000.0,231839000000.0,207000000000.0,176064000000.0,116371000000.0,75183000000.0,47501000000.0,36171000000.0,25347000000.0,17205000000.0,11516000000.0
