Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
III.L,3i Group PLC,Capital Markets,LONDON STOCK EXCHANGE,56.3345714535042,26.4305087154828,53.3366043858272,53.6583966390073,49.4229946653095,57.8191465749322,60.8595793763772,62.5072073853869,56.8756324717011,45.1127209035102,62.0855037946062,53.5688268842022,66.0307425003737,70.5612528271542,73.037606398314,64.0516651923469,73.2486271138121,78.480628167587,75.6057393211334,69.0961936049328
ABNd.AS,ABN Amro Bank NV,Banks,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,66.8946653803186,65.1033718379666,71.9820010665913,72.2273019086436,65.7984844833843,70.2192604931764,67.7518424958673,67.4562035531407
1299.HK,AIA Group Ltd,Insurance,HONG KONG EXCHANGES AND CLEARING LTD,,,,,,,29.2344781974093,31.9179387842067,29.8944478932594,33.0550141098662,49.9387692152792,48.7553128424822,61.4882970181322,63.052759083104,67.2497231392286,74.4978311939678,74.2054677348795,71.4784069580058,70.2834164201009,71.5378147765145
AIBG.I,AIB Group PLC,Banks,IRISH STOCK EXCHANGE - ALL MARKET,,46.2879146602987,51.5766464492647,61.1033414152423,62.9514038507736,49.1141634725859,43.6846789134411,45.6614000217716,43.5048092476204,29.0925979189211,27.3572388082079,34.112369061021,34.4620674473415,60.4819989311441,69.13695991596,63.2281990059689,72.4295961854081,74.1480712987911,67.2281023033012,78.5904709794672
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),,,,,,44.015231099505,40.4246542738642,55.2874219239166,51.8545850669461,52.9524271821541,51.234187677693,55.8111473895431,53.5454728927837,43.3052492755554,45.5184808237488,58.0096757378807,60.8623570116912,58.8638169143334,58.9971027943601,56.5297590320381
ANZ.AX,ANZ Group Holdings Ltd,Banks,ASX - ALL MARKETS,60.5019772682953,67.2366011024293,77.1311835283333,81.3149831017426,81.8968850998283,88.0680946633012,93.0088704369944,90.3604189807264,88.4259830247849,89.9671777006977,91.1239861617935,87.0973370286792,89.9628743353765,89.3243163166407,87.6883215868572,86.6408911304139,85.3483608640583,86.4263069793634,81.1821018927944,84.2080880672316
ASMI.AS,ASM International NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,49.5510085358252,51.0989162404077,47.3894725365573,64.3301234525469,62.0623400362848,66.5572899984598,63.5415258897752,62.0882740854605,63.2451543383973,69.0647428789691,70.8030213350162
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,51.4162965461667,41.3023540091209,53.2690265350721,53.9922878683794,57.4872215391326,57.8575635454518,63.1220102635195,60.1159387840569,59.5289724896618,55.8413448584938,64.6991559983802,60.5273666713485,62.4773754325075,70.0568208265092,75.3117361950107,78.2649316493349,75.3988812461111,76.6404210205783,75.1360879262803,74.3456039513625
ASRNL.AS,ASR Nederland NV,Insurance,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,53.9654492961472,73.6108054389435,78.7968292155874,76.5074270249025,78.8695328394904,79.4180499836416,82.9612956993006,81.454830956316
ASX.AX,ASX Ltd,Capital Markets,ASX - ALL MARKETS,41.9515042290442,33.8573727174764,48.8709866316337,32.8828956073773,50.1954199284275,51.7016468198862,56.1706344077115,53.2266779770827,51.5840878101494,59.4892802503495,60.0003259634708,60.6933556219387,56.4254830625577,60.1084485144954,57.8179040879873,57.5602129541988,52.8224809697825,57.5339619246893,52.6620393419451,56.5163638889624
AXAF.PA,AXA SA,Insurance,EURONEXT - EURONEXT PARIS,58.8480942308491,54.8198813103591,72.2245974544826,68.9984340975986,84.8411346485092,80.5665322647526,81.3641764393258,81.339609903335,82.7160862874636,83.3402067054468,81.2970592455638,86.5190723769741,82.384886209883,76.1118322401461,82.2589482333401,85.9401623820286,84.3336263367168,81.1316812441936,79.6490066226237,78.2264471943752
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",43.2489576807587,32.4375890452306,37.341561981106,55.4673257957187,69.071627255889,72.6574775378903,78.3129439583643,74.2094105345249,71.701227408967,72.9108497320474,72.5482858483479,86.8493126422653,78.8057802863872,81.6888441600677,83.2695429745692,81.1826707873447,79.9592265124259,80.9316962650954,82.1529276463384,81.4273560779692
ADML.L,Admiral Group PLC,Insurance,LONDON STOCK EXCHANGE,40.4960580096797,23.050057222471,44.1950101994363,44.6631746031746,48.7904187985761,52.0604613964175,41.1503905514776,47.2978240148119,44.4351013092504,41.4998229626906,39.1790942330875,54.4284732770139,57.0248357365662,61.1711168198332,59.214695269483,56.5972083983806,59.1041672039886,56.7462675376482,57.6746904498342,56.547259427676
ADBE.OQ,Adobe Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),56.078432824328,49.6539448591259,46.4097840701635,52.3473563235166,55.9338534927804,57.1317838987435,51.0102333925202,52.6118045689539,71.575130668212,68.6046252063682,74.0585202014267,70.261748087117,75.0652024433827,78.6135950826455,78.5795726376914,78.8229011116629,65.9664581528856,74.6196317864237,75.5981532299879,70.3975930566196
AMD.OQ,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),36.8415284323492,43.5139744551697,46.2190650595519,37.8910834080637,67.8432843333152,66.9501677821984,64.8597125309428,67.3695019963743,64.9137840309992,65.7813713207677,65.9292495382716,63.7096645484602,80.1271524061359,71.7274758472636,70.761698926001,68.3460748889787,67.0847209404432,65.7684815481892,71.0958948156696,67.6656277577858
6857.T,Advantest Corp,Semiconductors & Semiconductor Equipment,TOKYO STOCK EXCHANGE,38.1161989739656,44.5707762413073,41.205917187106,55.7869763406199,65.587666215584,67.948843032227,71.9926248718074,67.3469370021827,70.5700610548185,69.9796838775584,70.1816031603572,72.5571365349567,72.1633816089957,73.4759681790674,76.4926599926345,79.72850625388,78.1221477981776,76.055235781746,71.5494469394106,68.7430161866534
ADYEN.AS,Adyen NV,Financial Services,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,,,24.9732459957194,43.9622490442162,42.9480104247599,48.7694240607568,52.0860774338398,68.4266812485992
AEGN.AS,Aegon Ltd,Insurance,EURONEXT - EURONEXT AMSTERDAM,58.6921377517869,52.6061528527282,64.9725745339781,61.0048424257132,69.0387052938966,58.3709035304259,66.0866744261982,74.577957107305,74.231838857053,15.7567567567568,81.0549513145184,64.7566086165022,69.466738676165,66.400548251733,84.6197947874052,80.9222848301376,83.9386482675541,86.6418285086282,87.3673568776488,89.0115716855542
AFL.N,Aflac Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",48.1341436027345,53.8150123093582,39.4188959331993,57.150950141035,50.0503200948178,41.6551687204744,58.1102138029712,54.0036309724235,57.3462892197053,61.0277549861747,59.6822126913647,55.8476532501116,52.967243494228,51.5432898336249,60.4634946301274,54.7579589438112,59.1484043808073,52.793183416784,53.5230609298229,49.3377431137785
AGES.BR,Ageas SA,Insurance,EURONEXT - EURONEXT BRUSSELS,,67.5199979375392,72.6777671964932,78.9699766056971,43.2594723381855,39.2890265589172,43.9722364063738,41.8539850141536,35.8896453369056,32.5932834767071,37.7155806182122,48.831928688742,37.39841162343,44.5443879122941,54.007690686057,66.7333624806744,66.0180649415944,71.8902733451864,75.1539021225867,74.1355908342071
