Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
III.L,3i Group PLC,Capital Markets,LONDON STOCK EXCHANGE,0.7205501564385209,0.7254679648965122,0.6784787702533307,0.5551351030045009,0.2162217580054945,0.49228752007281174,0.5387086110240478,0.3777754807541517,0.5335945923495399,0.8392674328389906,0.9360414206256646,0.8656973772809453,1.0031577306589905,1.0847300832428588,0.8447114470275071,1.331583032049188,1.0820758169292677,1.0415170790399533,0.7187159144269127,1.0980305316415355
ABNd.AS,ABN Amro Bank NV,Banks,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,,,,,,,,
1299.HK,AIA Group Ltd,Insurance,HONG KONG EXCHANGES AND CLEARING LTD,,,,,,,,,,,,,,,,,,,,
AIBG.I,AIB Group PLC,Banks,IRISH STOCK EXCHANGE - ALL MARKET,0.13148099757538892,0.11775745815792643,0.12428359415805613,0.07757946362759695,0.008387858280193668,0.006077002118016864,0.0026420276886422152,0.259018269069857,0.2110664892066192,0.49587416522275624,0.3848274830349737,0.1352223598079947,0.1419403501809205,0.16576465993981898,0.10912562218318457,0.08553872813175462,0.041336004524138235,0.04542573607038123,0.07450457301905168,0.07452026917249151
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),4.180079726763643,4.464300227914726,1.856132710901566,3.3483978451281966,1.3417631059836503,2.0075811159567167,2.2278139545652875,2.1611656950177047,2.3924903809939106,2.967964960685165,2.737676178284625,3.015409380696171,2.857639922332444,4.257703046947213,3.65713430182329,4.478566638253796,5.259518903442251,5.534023659166828,3.146773015275993,4.304921598776437
ANZ.AX,ANZ Group Holdings Ltd,Banks,ASX - ALL MARKETS,0.12843796796495885,0.1287693119038524,0.11747450784088277,0.1236133581728609,0.05538833434011463,0.10115926490297505,0.10598414663917743,0.0843924255272244,0.10911120490294628,0.11674807805808454,0.11571089874639823,0.08465989226000606,0.09168094961770183,0.09660245409865036,0.07471365957583098,0.0657105071355426,0.07026299964675334,0.08090425627248238,0.06805582589512586,0.06247839398803556
ASMI.AS,ASM International NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.7752856665299063,0.9189106540622523,1.026998039786278,1.0764629432617803,0.43328078249748064,1.1314488093284008,1.1578155071452698,0.7617487087723381,1.1048012549577466,0.9398443526757826,1.1718553995294525,1.0986775988365935,1.276667137526523,1.612943631220248,1.1028119813503647,2.361887681247038,4.018513981907139,7.067973097073932,3.100410429965529,5.4957289961239475
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,1.7607810511146604,2.178890028602061,2.3135826558559995,2.29346897620207,1.395863620736479,2.5156689196578967,1.9312682248673,1.8528901024161002,2.5564858314447783,2.4912505644303864,2.9969121071496123,2.464494249919738,2.5094224317123768,3.195570077239637,2.730207231893486,4.670105967722155,5.777287544277672,8.940108161949007,5.231037147797866,6.379488713841667
ASRNL.AS,ASR Nederland NV,Insurance,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,,,,,,,,
ASX.AX,ASX Ltd,Capital Markets,ASX - ALL MARKETS,3.506877293514855,4.056517336233727,0.6364193074461248,1.392772613077629,0.7364481983000121,0.9713466823946031,1.0162153187184588,0.8198713892976796,0.8438452869960362,0.8398763979587739,0.9357815540839198,0.7680119324433299,0.6841936042192575,0.8661404747785819,0.7600651804395931,0.886691225856987,0.861798704351482,1.0374592394177045,0.8235330627638103,0.7384593011971944
AXAF.PA,AXA SA,Insurance,EURONEXT - EURONEXT PARIS,0.06887731169485257,0.10452132368791592,0.08812787871207284,0.0780073696973002,0.04914597115888134,0.0534770198928911,0.03963470462699703,0.03256008420764101,0.04184964026811933,0.06461555905361205,0.05582702279633555,0.0689591127439548,0.06510221894388107,0.06893960589539679,0.049134163447692135,0.07774052073738777,0.05864800152674224,0.0817627619231171,0.09598800932626257,0.10385299695290862
