Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
III.L,3i Group PLC,Capital Markets,LONDON STOCK EXCHANGE,0.024300000000000002,0.14046,0.15977,0.09683,-0.32685000000000003,,0.03181,-0.1512,0.04106,0.1168,0.14980000000000002,0.1561,0.24559999999999998,0.18780000000000002,0.1507,,0.196,,,
ABNd.AS,ABN Amro Bank NV,Banks,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,0.0049,0.0045000000000000005,0.0069,0.005699999999999999,0.0054,-0.0001,0.0031,0.0048,0.0070999999999999995
1299.HK,AIA Group Ltd,Insurance,HONG KONG EXCHANGES AND CLEARING LTD,,,,,,,,,,,,,,,0.011659999999999998,0.02229,0.0195,0.01919,0.019799999999999998,0.0128
AIBG.I,AIB Group PLC,Banks,IRISH STOCK EXCHANGE - ALL MARKET,0.0116,0.01107,0.01418,0.010780000000000001,0.00426,-0.011009999999999999,-0.02017,,,,0.0095,0.01126,,0.0116,0.0116,0.008,-0.0074,0.0054,0.006,0.0155
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),0.1505,0.1527,0.0753,,0.0817,0.08650000000000001,0.09789999999999999,0.1066,0.10949999999999999,0.11689999999999999,0.1177,0.1139,0.1168,0.12119999999999999,0.1656,0.1394,0.1085,0.10589,0.1074,0.10980000000000001
ANZ.AX,ANZ Group Holdings Ltd,Banks,ASX - ALL MARKETS,0.023627,0.04559,0.01079,0.04714,0.032170000000000004,0.00994,0.01004,0.0086,0.00998,0.0097,0.0088,0.006860000000000001,0.0076,0.0068000000000000005,0.00687,0.00391,0.0063,0.006500000000000001,0.0070599999999999994,0.005600000000000001
ASMI.AS,ASM International NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.0329,0.0045000000000000005,0.0665,0.07291,0.03168,-0.08115,0.10711,0.0694,0.0070999999999999995,,0.0946,0.0946,0.0819,0.08800000000000001,0.08470000000000001,0.1714,0.13539,0.20518999999999998,0.1941,0.1462
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.077,0.08898999999999999,0.16210999999999998,0.16283,0.09087999999999999,-0.039369999999999995,0.207,0.2182,0.1405,0.1073,0.0974,0.10880000000000001,0.0965,0.1197,0.1352,0.12119999999999999,0.13849999999999998,0.2046,0.1691,0.20559000000000002
ASRNL.AS,ASR Nederland NV,Insurance,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,0.011899999999999999,0.0111,0.010700000000000001,0.014190000000000001,0.0083,0.0124,0.0097,0.0096
ASX.AX,ASX Ltd,Capital Markets,ASX - ALL MARKETS,0.33486499999999997,0.23399599999999998,0.09455,0.066,0.07012,0.048949999999999994,0.057679999999999995,0.053380000000000004,0.05012,0.04984,0.051089999999999997,0.04605000000000001,0.03669,0.03561,0.0348,0.030449999999999998,0.028300000000000002,0.02919,0.02799,0.0281
