Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
III.L,3i Group PLC,Capital Markets,LONDON STOCK EXCHANGE,0.039,0.22114999999999999,0.25584,0.16133,-0.65822,,0.05789,-0.26170000000000004,0.06582,0.16570000000000001,0.19899999999999998,0.1978,0.31370000000000003,0.2216,0.1677,0.0646,0.2189,0.36609,0.30899,0.20727
ABNd.AS,ABN Amro Bank NV,Banks,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,0.12,0.09896,0.1462,0.114,0.1,-0.009399999999999999,0.06019,0.0873,0.1148
1299.HK,AIA Group Ltd,Insurance,HONG KONG EXCHANGES AND CLEARING LTD,,,,,,,,,,,,,,,0.06412,0.11900000000000001,0.09849000000000001,0.0971,0.12929000000000002,0.095
AIBG.I,AIB Group PLC,Banks,IRISH STOCK EXCHANGE - ALL MARKET,0.19879999999999998,0.16676,0.22576000000000002,0.17193000000000003,0.07148,-0.17920000000000003,-0.44864,,-0.20588,-0.2182,0.0966,0.1,0.1167,0.0805,0.0782,0.055990000000000005,-0.056600000000000004,0.0478,0.06474,0.1642
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),0.20559999999999998,0.20739999999999997,0.12359999999999999,,0.1288,0.13119999999999998,0.1394,0.1484,0.14980000000000002,0.1528,0.14859999999999998,0.1421,0.1467,0.1562,0.20989999999999998,0.1852,0.1548,0.15130000000000002,0.14949,0.15
ANZ.AX,ANZ Group Holdings Ltd,Banks,ASX - ALL MARKETS,0.177041,0.19599,0.18706,0.12928,0.1318,0.15496000000000001,0.15701,0.156,0.15628999999999998,0.158,0.145,0.10752,0.11900000000000001,0.109,0.11173999999999999,0.062,0.10220000000000001,0.1036,0.11426,0.094
ASMI.AS,ASM International NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.106,0.0103,0.1459,0.20485,0.05772,-0.28651,0.33903,0.1812,0.015700000000000002,0.0416,0.10189999999999999,0.1012,0.0834,0.09449999999999999,0.0934,0.19949000000000003,0.16239,0.2475,0.25120000000000003,0.19519999999999998
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.1859,0.2007,0.32298000000000004,0.32128,0.18768,-0.0802,0.44927,0.4718,0.27440000000000003,0.1848,0.1565,0.1745,0.1617,0.20670000000000002,0.2323,0.2139,0.2686,0.49014,0.59354,0.7042100000000001
ASRNL.AS,ASR Nederland NV,Insurance,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,0.1505,0.1759,0.1118,0.15759,0.11699999999999999,0.1482,0.09720000000000001,0.12919
ASX.AX,ASX Ltd,Capital Markets,ASX - ALL MARKETS,0.428249,0.426384,0.20123000000000002,0.13282,0.11347,0.11524,0.11803000000000001,0.11276,0.115,0.1096,0.10852,0.1124,0.11227999999999999,0.11849,0.1252,0.13058,0.131,0.13485,0.13191,0.12877
AXAF.PA,AXA SA,Insurance,EURONEXT - EURONEXT PARIS,0.08304,0.12105,0.1149,0.11437,0.08274,0.07502,0.09,0.1,0.133,0.09691000000000001,0.145,0.141,0.135,0.08560000000000001,0.09359999999999999,0.0975,0.0603,0.102,0.1247,0.149
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",0.8264,0.7615000000000001,0.8225,0.6820999999999999,0.5527000000000001,0.7188500000000001,0.75099,0.6956,0.6587999999999999,0.5852,0.5514,0.5205,0.4733,0.457,0.3529,0.3123,0.31120000000000003,0.3307,0.31699,0.28149
ADML.L,Admiral Group PLC,Insurance,LONDON STOCK EXCHANGE,0.6192,0.51968,0.51801,0.5579999999999999,0.56484,0.52161,0.59585,0.59,0.6079,0.59,0.52,0.49,0.37450000000000006,0.5449,0.5627,0.5025999999999999,0.4914,0.7923,0.316,0.34740000000000004
ADBE.OQ,Adobe Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),0.3151,0.30799,0.1461,0.2077,0.2575,0.1675,0.1956,0.21559999999999999,0.19010000000000002,,0.0977,0.15289999999999998,0.21059999999999998,0.2721,0.3086,0.3889,0.4121,0.42789,0.44770000000000004,0.48259
AMD.OQ,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),0.046799999999999994,0.0821,0.0672,-0.45890000000000003,-13.7126,0.17629999999999998,0.4335,0.2874,-0.10710000000000001,-0.1534,0.13949999999999999,3.7244,,0.3486,0.5477000000000001,0.36939999999999995,0.3636,0.5152,0.17678999999999997,0.07780000000000001
6857.T,Advantest Corp,Semiconductors & Semiconductor Equipment,TOKYO STOCK EXCHANGE,0.17800000000000002,0.17800000000000002,0.129,0.06,-0.359,-0.073,0.022000000000000002,-0.016,-0.027999999999999997,-0.275,0.10099999999999999,0.057999999999999996,0.14,0.155,0.28678000000000003,0.249,0.24891,0.304,0.39299999999999996,0.156
ADYEN.AS,Adyen NV,Financial Services,EURONEXT - EURONEXT AMSTERDAM,,,,,,,,,,,,,,,0.2698,0.2813,0.2502,0.31018999999999997,0.26719000000000004,0.2507
