Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ANZ.AX,ANZ Group Holdings Ltd,Banks,ASX - ALL MARKETS,0.023627,0.04559,0.01079,0.04714,0.032170000000000004,0.00994,0.01004,0.0086,0.00998,0.0097,0.0088,0.006860000000000001,0.0076,0.0068000000000000005,0.00687,0.00391,0.0063,0.006500000000000001,0.0070599999999999994,0.005600000000000001
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.077,0.08898999999999999,0.16210999999999998,0.16283,0.09087999999999999,-0.039369999999999995,0.207,0.2182,0.1405,0.1073,0.0974,0.10880000000000001,0.0965,0.1197,0.1352,0.12119999999999999,0.13849999999999998,0.2046,0.1691,0.20559000000000002
ASX.AX,ASX Ltd,Capital Markets,ASX - ALL MARKETS,0.33486499999999997,0.23399599999999998,0.09455,0.066,0.07012,0.048949999999999994,0.057679999999999995,0.053380000000000004,0.05012,0.04984,0.051089999999999997,0.04605000000000001,0.03669,0.03561,0.0348,0.030449999999999998,0.028300000000000002,0.02919,0.02799,0.0281
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",0.1566,0.1532,0.15789999999999998,0.1779,0.1567,0.16247,0.17652,0.1723,0.1789,0.17980000000000002,0.1808,0.18350000000000002,0.1804,0.18719999999999998,0.1931,0.1467,0.1416,0.1522,0.15380000000000002,0.14179
AIXGn.DE,Aixtron SE,Semiconductors & Semiconductor Equipment,XETRA,0.042199999999999994,-0.25852,0.02339,0.06157,0.07519,0.07811,0.2757,0.09939999999999999,-0.2175,-0.17989999999999998,-0.114,-0.0574,-0.052300000000000006,0.0146,0.09227,0.058899999999999994,0.0605,0.14368999999999998,0.1222,0.15029
AKAM.OQ,Akamai Technologies Inc,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),0.2407,0.08922000000000001,0.12380000000000001,0.1461,0.16399999999999998,0.1143,0.12240000000000001,0.1211,0.1332,0.1322,0.1264,0.1109,0.1112,0.1009,0.1217,0.1186,0.1162,0.11849,0.10429000000000001,0.10550000000000001
ALL.N,Allstate Corp,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.0206,0.0101,0.031,0.024700000000000003,0.013000000000000001,0.0141,0.011699999999999999,0.0054,0.017,0.0213,0.0207,0.019799999999999998,0.0172,0.0223,0.0254,0.029900000000000003,0.1512,0.1431,-0.00268,0.0025
APH.N,Amphenol Corp,"Electronic Equipment, Instruments & Components","NEW YORK STOCK EXCHANGE, INC.",0.1257,0.10679999999999999,0.1215,0.132,0.13999,0.11019999999999999,0.1315,0.12390000000000001,0.1177,0.1099,0.109,0.10619999999999999,0.1073,0.11380000000000001,0.1175,0.1103,0.09949999999999999,0.11470000000000001,0.12429,0.1174
AAPL.OQ,Apple Inc,"Technology Hardware, Storage & Peripherals",NASDAQ/NGS (GLOBAL SELECT MARKET),0.1065,0.11560000000000001,0.1379,0.1222,0.1059,0.2284,0.27064,0.2854,0.1934,0.1801,0.2045,0.1493,0.1387,0.1607,0.15689999999999998,0.17329999999999998,0.28059,0.28359,0.275,0.2898
AMAT.OQ,Applied Materials Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),0.12380000000000001,0.09681,0.17329999999999998,0.1678,0.0934,-0.009899999999999999,0.1079,0.1389,0.0739,0.059500000000000004,0.1042,0.1023,0.1305,0.20739999999999997,0.2457,0.1563,0.1859,0.261,0.2571,0.23678999999999997
AMAT.OQ,Applied Materials Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),0.09681,0.17329999999999998,0.1678,0.0934,-0.009899999999999999,0.1079,0.1389,0.0739,0.059500000000000004,0.1042,0.1023,0.1305,0.20739999999999997,0.2457,0.1563,0.1859,0.261,0.2571,0.23678999999999997,0.2214
2388.HK,BOC Hong Kong Holdings Ltd,Banks,HONG KONG EXCHANGES AND CLEARING LTD,0.015343,0.029922,0.03902,0.03751,0.014421999999999999,0.01163,0.01127,0.01202,0.0124,0.012199999999999999,0.011899999999999999,0.011899999999999999,0.0236,0.0115,0.011430000000000001,0.0115,0.00835,0.0066,0.0074,0.009000000000000001
BBVA.MC,Banco Bilbao Vizcaya Argentaria SA,Banks,BOLSA DE MADRID,0.0105,0.0105,0.011779999999999999,0.011819999999999999,0.01035,0.0104,0.0089,0.0079,0.008100000000000001,0.0064,0.005,0.0046,0.00469,0.006500000000000001,0.0091,0.006999999999999999,0.0043,0.0072,0.0096,0.0108
SABE.MC,Banco de Sabadell SA,Banks,BOLSA DE MADRID,0.009000000000000001,0.0092,0.0091,0.01046,0.008579999999999999,0.0064,0.0044,0.0024,0.0007000000000000001,0.0016,0.00227,0.0038,0.0034999999999999996,0.0038,0.0015,0.0034000000000000002,1e-05,0.0022,0.0034000000000000002,0.0055000000000000005
BAC.N,Bank of America Corp,Banks,"NEW YORK STOCK EXCHANGE, INC.",0.013500000000000002,0.013300000000000001,0.0148,0.0087,0.0014000000000000002,-0.001,0.0045000000000000005,0.0006,0.0019,0.0053,0.0022,0.0070999999999999995,0.0077,0.009300000000000001,0.0116,0.0109,0.0067,0.0105,0.0084,0.009300000000000001
BK.N,Bank of New York Mellon Corp,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",0.015600000000000001,0.01539,0.0167,0.0124,0.0116,0.0125,0.0121,0.0088,0.0070999999999999995,0.0072,0.0073,0.0083,0.0095,0.0105,0.0116,0.0102,0.0084,0.0078000000000000005,0.005600000000000001,0.0098
BKT.MC,Bankinter SA,Banks,BOLSA DE MADRID,0.0062,0.0055000000000000005,0.0048,0.00756,0.00489,0.0046,0.0027,0.0032,0.0021,0.0037,0.0049,0.0066,0.0078000000000000005,0.0070999999999999995,0.0072,0.0060999999999999995,0.0034999999999999996,0.0044,0.0052,0.0077
BARC.L,Barclays PLC,Banks,LONDON STOCK EXCHANGE,0.0067,0.004699999999999999,0.0047599999999999995,0.0039700000000000004,0.00267,0.00189,0.00207,0.00178,0.0027600000000000003,0.0017000000000000001,0.0021,0.0022,0.0019,0.0022,0.005699999999999999,0.0064,0.0012,0.0048,0.0045000000000000005,0.0034000000000000002
BC8G.DE,Bechtle AG,IT Services,XETRA,0.0785,0.07311,0.07357,0.09378,0.09577,0.0658,0.0791,0.0861,0.06860000000000001,0.0723,0.0791,0.095,0.096,0.08446,0.07902999999999999,0.0771,0.0758,0.08109999999999999,0.07769,0.0732
CME.OQ,CME Group Inc,Capital Markets,NASDAQ/NGS (GLOBAL SELECT MARKET),0.0768,0.07730000000000001,0.09449999999999999,0.0336,0.020499999999999997,0.021099999999999997,0.0291,0.03,0.0253,0.0219,0.0179,0.0187,0.0225,0.022400000000000003,0.030600000000000002,0.0319,0.0241,0.0149,0.0154,0.022090000000000002
CDNS.OQ,Cadence Design Systems Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),0.0712,0.076,0.0975,0.1025,-0.006,-0.0104,0.0336,0.07919999999999999,0.10710000000000001,0.1069,0.1018,0.1226,0.15810000000000002,0.1739,0.2151,0.21199,0.21399,0.22030000000000002,0.2464,0.25989
CM.TO,Canadian Imperial Bank of Commerce,Banks,TORONTO STOCK EXCHANGE,0.0078000000000000005,0.0070999999999999995,0.0076,0.0087,0.0072,0.0068000000000000005,0.0073,0.0084,0.008199999999999999,0.0084,0.0088,0.0079,0.0084,0.0086,0.009300000000000001,0.008,0.0060999999999999995,0.0083,0.0074,0.0067
CAPP.PA,Capgemini SE,IT Services,EURONEXT - EURONEXT PARIS,-0.0282,0.019799999999999998,0.0359,0.04934,0.050519999999999995,0.03811,0.04258,0.0471,0.04967,0.04896,0.0599,0.058890000000000005,0.05824,0.0644,0.0622,0.06679,0.06089000000000001,0.0658,0.0762,0.085
COF.N,Capital One Financial Corp,Consumer Finance,"NEW YORK STOCK EXCHANGE, INC.",0.0288,0.0204,0.016200000000000003,0.0104,-0.0005,0.0019,0.0149,0.015600000000000001,0.0134,0.0134,0.0148,0.0128,0.0111,0.009899999999999999,0.0147,0.013600000000000001,0.0058,0.0292,0.01569,0.0103
