Identifier,Company Name,GICS Industry Name,Exchange Name,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
ANZ.AX,ANZ Group Holdings Ltd,Banks,ASX - ALL MARKETS,0.177041,0.19599,0.18706,0.12928,0.1318,0.15496000000000001,0.15701,0.156,0.15628999999999998,0.158,0.145,0.10752,0.11900000000000001,0.109,0.11173999999999999,0.062,0.10220000000000001,0.1036,0.11426,0.094
ASML.AS,ASML Holding NV,Semiconductors & Semiconductor Equipment,EURONEXT - EURONEXT AMSTERDAM,0.1859,0.2007,0.32298000000000004,0.32128,0.18768,-0.0802,0.44927,0.4718,0.27440000000000003,0.1848,0.1565,0.1745,0.1617,0.20670000000000002,0.2323,0.2139,0.2686,0.49014,0.59354,0.7042100000000001
ASX.AX,ASX Ltd,Capital Markets,ASX - ALL MARKETS,0.428249,0.426384,0.20123000000000002,0.13282,0.11347,0.11524,0.11803000000000001,0.11276,0.115,0.1096,0.10852,0.1124,0.11227999999999999,0.11849,0.1252,0.13058,0.131,0.13485,0.13191,0.12877
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",0.8264,0.7615000000000001,0.8225,0.6820999999999999,0.5527000000000001,0.7188500000000001,0.75099,0.6956,0.6587999999999999,0.5852,0.5514,0.5205,0.4733,0.457,0.3529,0.3123,0.31120000000000003,0.3307,0.31699,0.28149
AIXGn.DE,Aixtron SE,Semiconductors & Semiconductor Equipment,XETRA,0.0542,-0.33358,0.031869999999999996,0.09023999999999999,0.11183,0.10825,0.3797,0.1295,-0.2648,-0.21600000000000003,-0.1419,-0.0718,-0.06269999999999999,0.0177,0.11485,0.0712,0.0728,0.17589,0.16,0.2016
AKAM.OQ,Akamai Technologies Inc,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),-0.3492,0.12743000000000002,0.1618,0.1777,0.1967,0.13699999999999998,0.1388,0.1313,0.1463,0.1477,0.1578,0.1497,0.1501,0.13849999999999998,0.1884,0.2159,0.217,0.21469000000000002,0.193,0.2144
ALL.N,Allstate Corp,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.14150000000000001,0.0784,0.2237,0.17679999999999998,0.1391,0.12789999999999999,0.086,0.0365,0.124,0.1294,0.126,0.11599999999999999,0.09050000000000001,0.1144,0.13,0.147,0.1654,0.1472,-0.01169,0.013999999999999999
APH.N,Amphenol Corp,"Electronic Equipment, Instruments & Components","NEW YORK STOCK EXCHANGE, INC.",0.341,0.2994,0.2954,0.2792,0.31061,0.20600000000000002,0.2339,0.2334,0.24710000000000001,0.2365,0.2495,0.2503,0.24760000000000001,0.2747,0.2942,0.2692,0.2322,0.265,0.28,0.24350000000000002
AAPL.OQ,Apple Inc,"Technology Hardware, Storage & Peripherals",NASDAQ/NGS (GLOBAL SELECT MARKET),0.16469999999999999,0.1985,0.24059999999999998,0.2299,0.20489999999999997,0.3528,0.41673000000000004,0.42840000000000006,0.3064,0.3361,0.4625,0.369,0.36869999999999997,0.4936,0.5592,0.7368000000000001,1.4743899999999999,1.21389,1.7194900000000002,1.7462
AMAT.OQ,Applied Materials Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),0.1586,0.12186,0.24710000000000001,0.2285,0.1368,-0.013300000000000001,0.1567,0.19579999999999997,0.1197,0.1003,0.1753,0.1882,0.263,0.42560000000000003,0.5645,0.382,0.4092,0.5509000000000001,0.5528,0.47659
