Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
MMM.N,3M Co,Industrial Conglomerates,"NEW YORK STOCK EXCHANGE, INC.",60379298594.1599,66284930366.8,101576912257.14,100822696055.62,101474108590.7,109860632510.72,140188280379.96,107403855226.569,92750996829.68,104365316486.08,93027297519.75,65073428630.85,57280035778.13,61692338862.9,58526910015.56,39906480733.9799,60139467003.3599,57385011030.23,58894766115.0,63894267160.4599
AOS.N,A O Smith Corp,Building Products,"NEW YORK STOCK EXCHANGE, INC.",12260512084.32,8744871165.48,13664066456.6999,8851662932.12,7770654155.52,7256905436.9,10535841414.56,8234790682.9,6743231965.38,5051286136.94,4920633725.58,2911839095.9,1856795284.67999,1744505728.0,1316743486.56,1119952827.44,1397508019.5,1465161396.04,1357416005.4,883367060.76
AES.N,AES Corp,Independent Power and Renewable Electricity Producers,"NEW YORK STOCK EXCHANGE, INC.",12890358923.75,19210235615.28,16203085087.5,15630581978.0,13212657854.4,9576821546.34,7151986509.78,7659624422.79999,6439290880.77,9818648322.11999,10569689400.73,7960383662.99999,9087771126.08,9599055661.44,8885527014.76,5456734733.36,14315413925.07,14638712578.4399,10339758556.19,8869104078.97
AME.N,AMETEK Inc,Electrical Equipment,"NEW YORK STOCK EXCHANGE, INC.",38056390552.7299,32087312348.84,34014052408.64,27824043684.64,22799853053.28,15714251304.4,16749063846.35,11247594033.6,12748127569.38,12943441632.47,12891180275.85,9128919625.02,6740304093.5,6281950882.0,4123750167.19999,3224139078.93,5025100262.12,3370649773.44,2985628423.5,2444019653.04
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),31524402752.64,21045444853.65,34998903304.0,31244645402.6,21671277884.48,11944068972.92,12524557210.07,8002894901.12999,8231778130.0,7536491260.0,8079934385.6,6238220091.74,5291549369.28,4738284032.43,3854921122.4,2501736095.79,3245575244.1,1675523573.6,1363883898.33,1001739386.2
APA.OQ,APA Corp (US),"Oil, Gas & Consumable Fuels",NASDAQ/NGS (GLOBAL SELECT MARKET),11005092825.48,15008170870.68,9768444824.51,5356415402.58,9622768584.33,9963020602.5,16083397796.38,24082379828.98,16810290406.72,23594138157.93,34032240000.0,30772000000.0,34788109238.26,45545860000.0,34683108824.37,24945936300.0,35772905697.6,21909288226.95,22563197334.96,16509653691.57
T.N,AT&T Inc,Diversified Telecommunication Services,"NEW YORK STOCK EXCHANGE, INC.",119977337580.04,131208070000.0,175668600000.0,204943760000.0,285479400000.0,207714120000.0,238684320000.0,261176730000.0,211690319999.999,174231330000.0,183746159999.999,188135510000.0,179202240000.0,173635800000.0,165405030000.0,167950500000.0,252051376060.48,137383753435.5,95694971622.8799,85438216434.93
ABBV.N,AbbVie Inc,Biotechnology,"NEW YORK STOCK EXCHANGE, INC.",273605334132.37,285804134897.88,239371014961.0,189133981555.85,130938943059.1,138673703186.13,154390720155.4,101763700131.44,96842407363.08,104275491877.92,84013412291.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT.N,Abbott Laboratories,Health Care Equipment & Supplies,"NEW YORK STOCK EXCHANGE, INC.",191087963057.52,191426964976.83,248868708017.06,194055869503.69,153608062536.3,127035568204.56,99336081207.09,56551408778.4299,66993140304.81,67790692181.72,59265295811.18,103533736773.5,87594845350.94,74060042883.15,83508407619.74,82807940733.12,86767051829.55,74763216769.62,61164933327.9099,72652350934.95
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",233885568361.41,175684390808.919,272911853534.45,172695107307.3,138333129748.5,89886626380.95,98381727900.54,76126457854.2,68752039125.0,59346197687.01,55669769686.52,46283803426.0,37621516729.53,34479049094.62,30312578611.5,24315442173.8099,28220569740.15,30160858297.71,24380271325.84,15598293525.0
ADBE.OQ,Adobe Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),271631980000.0,156452797000.0,269807147999.999,239917057777.96,159653966034.29,110435329148.48,86383333773.36,51189521709.0,46857210845.06,36258316139.8,29932753133.675,18653658119.28,13877625905.66,15658298979.48,19263897140.04,11304055049.65,24311484496.0199,24197330663.1999,22220927615.04,14971459736.72
AMD.OQ,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),238140691522.31,104432308612.739,173775144474.5,110300684320.98,51070958434.08,18449057207.36,9918129638.84,10510691239.44,2274181840.98,2070158892.03,2800668032.1,1708674736.8,3763382790.6,5576817397.24,6488500350.63999,1314331805.52,4541151277.5,11164135132.15,12364501852.8,8082841830.05999
AFL.N,Aflac Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",48211340842.5,44731469006.4,38626632707.41,31237740045.1499,38829552729.0,34683886958.2,34510673643.6,28403905324.8,25561646872.1,27028965050.0,30688788400.0,24908335218.5599,20193235382.8799,26593283849.22,21640339711.25,21389631600.0,30551843554.46,22747181056.0,23227105816.42,20158400488.32
A.N,Agilent Technologies Inc,Life Sciences Tools & Services,"NEW YORK STOCK EXCHANGE, INC.",40736360301.06,44307180786.0,48214427241.05,36358600335.74,26461747133.65,21488239822.8399,21632517268.19,14658833458.36,13888064910.9,13728074573.88,18976128115.0,14244440231.3599,12160012292.89,14432069281.83,10838187807.46,5501626191.57,13647756217.04,14187816921.15,16357267439.23,11732870196.7
APD.N,Air Products and Chemicals Inc,Chemicals,"NEW YORK STOCK EXCHANGE, INC.",60846055696.6,68429930559.82,67459732168.6199,60457271885.8,51857236485.18,35151968918.55,35903523550.72,31271297331.78,28058268079.38,30904745510.35,23660794973.52,17444624689.38,17934374121.02,19504467062.3,17187876071.1,10535855092.07,21243599985.37,15246323434.44,13146510844.0199,13177153569.69
ABNB.OQ,Airbnb Inc,"Hotels, Restaurants & Leisure",NASDAQ/NGS (GLOBAL SELECT MARKET),87136278892.26,54923249146.5,105785902456.23,88245108896.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
