Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
MMM.N,3M Co,Industrial Conglomerates,"NEW YORK STOCK EXCHANGE, INC.",1.1937386040759173,1.4268632088429665,2.1579051720160605,2.1295770542332715,2.2721984054882554,3.0098803427594523,3.690427787926396,3.263959619114113,2.8206367067992577,3.3440775573097503,2.7727957531967213,1.9209301166268153,1.8117420223345773,2.045773274403104,2.147776514332477,1.5471825973706004,2.4353878271385723,2.6948910975030524,2.867181058127647,3.085487114180988
AOS.N,A O Smith Corp,Building Products,"NEW YORK STOCK EXCHANGE, INC.",3.8148393180621674,2.624274874855205,3.932784497092994,2.8005387832189075,2.5410903059254415,2.3626584525150576,3.295127733333333,2.8484229273261845,2.5647466778411685,2.0082241231423685,2.057551212870583,1.2777949341319994,0.7904620198722818,0.826544929403961,0.666874391775133,0.5806775690568777,0.7536173530522001,0.7963266460351106,1.050062663727083,0.6722732578082191
AES.N,AES Corp,Independent Power and Renewable Electricity Producers,"NEW YORK STOCK EXCHANGE, INC.",0.2877376486919351,0.5007490450506998,0.49155371439189394,0.45171175846024914,0.39267290342368044,0.29448115206604963,0.2159937940861319,0.21203699542686275,0.17656404937674802,0.2519798881619871,0.2615547598606815,0.19030321929237368,0.20040954276187536,0.23694936341833084,0.22475090463538638,0.15677569193127622,0.41550558514701186,0.4680793175941645,0.35660488208967067,0.3066453714680358
AME.N,AMETEK Inc,Electrical Equipment,"NEW YORK STOCK EXCHANGE, INC.",2.5331185782152503,2.5812084791104906,2.858759272201723,2.6863711661066687,2.3159852110470363,1.8140993816414324,2.14839999342617,1.584017803605686,1.914003944084859,2.0158100323066805,2.1931601234334974,1.7589250722959444,1.5604397957860765,1.6449569791419814,1.2703972626271058,1.0551774706189605,1.8301709080088866,1.5818141334549736,1.6767513159867753,1.720714057529401
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),4.304921598776437,3.146773015275993,5.534023659166828,5.259518903442251,4.478566638253796,3.65713430182329,4.257703046947213,2.857639922332444,3.015409380696171,2.737676178284625,2.967964960685165,2.3924903809939106,2.1611656950177047,2.2278139545652875,2.0075811159567167,1.3417631059836503,3.3483978451281966,1.856132710901566,4.464300227914726,4.180079726763643
APA.OQ,APA Corp (US),"Oil, Gas & Consumable Fuels",NASDAQ/NGS (GLOBAL SELECT MARKET),0.7219294690028863,1.1415662029877538,0.7343039032180712,0.42024285286207436,0.5314391442166013,0.4616356501946066,0.7336647110838427,1.0694249224645855,0.6592270747733333,0.4216853402546826,0.5521397861673994,0.5066433969409092,0.6683466069481855,1.0488396085204374,1.2305195865998637,0.8547084823677809,1.249287295228428,0.901313579771003,1.1707885105757656,1.0649685528747659
T.N,AT&T Inc,Diversified Telecommunication Services,"NEW YORK STOCK EXCHANGE, INC.",0.2947411624331548,0.32569714014789514,0.3184582920913234,0.38980403643480593,0.5174831284701514,0.3905399124588241,0.537459879260612,0.6467636155623407,0.5257140302777422,0.5869655430307849,0.6614642153880455,0.6908745753998127,0.6626272546424002,0.6445493724734679,0.6164652717731596,0.6331900695583329,0.9144090785958701,0.5076367102267269,0.6571012663623372,0.774844387928445
ABBV.N,AbbVie Inc,Biotechnology,"NEW YORK STOCK EXCHANGE, INC.",2.031054139100519,2.059033427454919,1.6336084663172479,1.2561616680891974,1.4693255126420917,2.3364621779574404,2.181091178416636,1.5395648970701523,1.825493069992083,3.790044410930106,2.8773687338762928,0.0,0.0,0.0,,,,,,
ABT.N,Abbott Laboratories,Health Care Equipment & Supplies,"NEW YORK STOCK EXCHANGE, INC.",2.6099921197792773,2.57162961090881,3.309600351309378,2.6748617398645034,2.262702174735958,1.8911700862632308,1.3027682781257703,1.0737745182552292,1.6241942518197687,1.6451256384041546,1.379770814871604,1.5398785866512976,1.453207705163901,1.222640470068669,1.5881671742947152,1.9521333010661868,2.1848017795861723,2.066528313526178,2.0989158658930416,2.525501558632462
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",4.181578531938835,3.428302179271233,5.774275893761535,3.9998085806292187,3.7308084950391724,3.017354429791258,4.023943470621782,3.355082719845711,3.3360194954108406,3.2603059152336473,3.1047610894873143,2.744036815568627,2.2574605390582834,2.191718982768978,2.361665844179308,1.9840053785281158,2.2761231469186862,2.8064021271578485,2.567022043908013,1.7413956183702506
ADBE.OQ,Adobe Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),9.121595083783875,5.759351997055034,9.904450937924414,9.879635059214298,7.689571823791566,5.88402153909795,5.942898487911986,4.031545242881803,3.9958489514203417,3.361662431306857,2.8836121211235937,1.8578916994104415,1.5434705205822192,1.9233526990886296,2.6453268604194013,1.9417443543250494,4.254961557346834,4.058219852183982,9.105762008199761,7.643834950475638
AMD.OQ,Advanced Micro Devices Inc,Semiconductors & Semiconductor Equipment,NASDAQ/NGS (GLOBAL SELECT MARKET),3.508001642812256,1.545313829723868,13.992684151260166,12.307597000778843,8.472289056748508,4.049397982300263,2.792266227150901,3.1649175668292684,0.737413048307393,0.5495510730103531,0.645761593751441,0.4271686842,0.7596654805409769,1.1234523362691378,0.7147499835470357,0.17131540739311782,0.39317327077922076,0.8491773889214269,1.6965562366630076,1.030421397446013
AFL.N,Aflac Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.38044364794750796,0.33954871795837194,0.24518307947982126,0.1892210123520462,0.2541733395017281,0.2470256752432232,0.2515043591071077,0.21879621106925795,0.21615517920528343,0.22567956991491814,0.2529844806977338,0.19000362502143422,0.1737246778812246,0.2631982090996546,0.2572984057171902,0.2696251351930519,0.4642784523130461,0.3803558407491012,0.41211308912936245,0.33979031939318344
A.N,Agilent Technologies Inc,Life Sciences Tools & Services,"NEW YORK STOCK EXCHANGE, INC.",3.4388283218858686,4.116619974542414,4.5778985226974935,3.3964129225352635,2.7487012707645166,2.2734066676724396,2.5327850682812314,1.739714390975552,1.7818918284449576,1.835549481732852,1.7546119385113268,1.3330002088115196,1.1541393596137053,1.593471268834051,1.1177998976340757,0.7227569878573304,1.9477317278492936,1.878185983737093,2.219740458573755,1.737945518693527
APD.N,Air Products and Chemicals Inc,Chemicals,"NEW YORK STOCK EXCHANGE, INC.",1.5375027339909941,2.138268277785173,2.4808121389135245,2.250896224973194,2.0604023475844806,1.855690231568195,1.872091037825042,1.6933426470596515,1.5563198517566534,1.782846087879662,1.3308207374681509,0.9772844235819408,1.0585872883058471,1.3648363664691023,1.27261982326983,0.8086402815290388,1.6898490995656772,1.2043385152999724,1.1758218040033181,1.2659627977951349
ABNB.OQ,Airbnb Inc,"Hotels, Restaurants & Leisure",NASDAQ/NGS (GLOBAL SELECT MARKET),4.220696483035117,3.4245697185746353,7.716825553028732,8.411105876862782,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
AKAM.OQ,Akamai Technologies Inc,IT Services,NASDAQ/NGS (GLOBAL SELECT MARKET),1.8031160967176183,1.5963972849194306,2.3365786251198446,2.2013723108860748,1.9921991766099805,1.8213613660187082,2.3664934017994734,2.6424084778966903,2.2395109473575716,2.800542583651419,2.8553480171147365,2.8000862868838903,2.4694249476252623,3.6465653857564706,2.0791379626157482,1.3590178585194403,3.4717010285336105,6.658607060000056,3.397713715192053,8.992566480850101
ALB.N,Albemarle Corp,Chemicals,"NEW YORK STOCK EXCHANGE, INC.",0.9280019529987217,1.6436915696066683,2.4918224734652936,1.5026931639834327,0.785392995554243,1.0796148128962009,1.8232104887603453,1.1863354071425942,0.6547748255034355,0.9008812428493177,1.4393844495211303,1.6131376234947812,1.4270701617785495,1.664827633025334,1.2030789257518426,0.7080568134278455,1.391394193912182,1.347368498337001,0.6996005297935763,0.6601907466067887
ARE.N,Alexandria Real Estate Equities Inc,Health Care REITs,"NEW YORK STOCK EXCHANGE, INC.",0.5990936803856431,0.6728689868590558,1.1433344698157704,1.0535212684306443,1.0117207769640666,0.8566472998078943,1.0327031918696314,0.8522826385693404,0.7376189077129343,0.7794600908845536,0.6013419065989319,0.6174528120438871,0.670856055387716,0.709029933748864,0.5443720715447607,0.3952485587375248,0.7289715713296628,0.8123979196550524,0.7663040832610214,0.7764942950001175
ALGN.OQ,Align Technology Inc,Health Care Equipment & Supplies,NASDAQ/NGS (GLOBAL SELECT MARKET),3.4493493599558307,2.769677474580725,8.720918980870431,8.724397124399262,8.794317675724656,8.161496563062435,9.985759069466576,5.48690092565918,4.5177603657068195,4.543539606638482,5.515146933198102,2.986100106503665,2.870131239180056,3.1264170022413578,3.7352233425852943,2.099968269068987,5.131200378163144,5.905962354478153,2.8251811581169517,4.9862145288879365
ALLE.N,Allegion PLC,Building Products,"NEW YORK STOCK EXCHANGE, INC.",2.579567838696486,2.316733304199238,3.8935824199541136,3.4897701719228187,3.899914990462389,2.696211966667853,2.9746626429583003,2.7342651027854408,2.7938642020680513,2.633616439089241,2.1211000541987404,0.0,0.0,,,,,,,
LNT.OQ,Alliant Energy Corp,Electric Utilities,NASDAQ/NGS (GLOBAL SELECT MARKET),0.6164094346235297,0.6873439088578088,0.8294980637573438,0.7267175022241671,0.7875171097163591,0.6465338048424737,0.6939461782919121,0.6445431528002512,0.5670589146232153,0.6107968554399635,0.5151626399697635,0.45185264790691204,0.5053101756015236,0.439101926041431,0.37056779105799026,0.3929652757202951,0.6570167275338331,0.6189588940514674,0.42231425778536424,0.3992962602233179
ALL.N,Allstate Corp,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.35439479904336124,0.3670046457704436,0.3391737351533588,0.26531466022827754,0.30370041887619836,0.25355472895170555,0.3342109576605113,0.2513070265297855,0.22977985464607859,0.2706929451783294,0.1982550194300518,0.1515705766973619,0.11064278173428227,0.1310978792411021,0.12148944346621235,0.13026424724402438,0.19058181418098818,0.2582603833032484,0.22471683236352452,0.23704052430415765
GOOG.OQ,Alphabet Inc,Interactive Media & Services,NASDAQ/NGS (GLOBAL SELECT MARKET),4.362559494224537,3.134729647597354,5.349362163743111,3.708453401196936,3.3451110956676655,3.1077753900448895,3.69729688880813,3.218373449803937,3.5836428813171617,2.7753251692518597,3.375541833216643,2.478101447119981,2.882560289317111,3.2832072818547644,4.857208015237656,3.048205689746542,8.538229988333507,7.6314908418640455,11.936656017431392,15.908927548122731
GOOGL.OQ,Alphabet Inc,Interactive Media & Services,NASDAQ/NGS (GLOBAL SELECT MARKET),4.362559494224537,3.134729647597354,5.349362163743111,3.708453401196936,3.3451110956676655,3.1077753900448895,3.69729688880813,3.218373449803937,3.5836428813171617,2.7753251692518597,3.375541833216643,2.478101447119981,2.882560289317111,3.2832072818547644,4.857208015237656,3.048205689746542,8.538229988333507,7.6314908418640455,11.936656017431392,15.908927548122731
MO.N,Altria Group Inc,Tobacco,"NEW YORK STOCK EXCHANGE, INC.",1.8498109107897331,2.2168157809379228,2.2026389766611847,1.6070187236892057,1.8923544095735807,1.6689753622865542,3.1541091825836767,2.8711422792022994,3.6267860513369783,2.8175358882729515,2.2026038772167875,1.8021833435376036,1.6590821929988273,1.374319836873964,1.1090740308975624,1.1401649519096086,2.7568257961701073,1.7250260927307854,1.4413714432422717,1.23379313852609
AMZN.OQ,Amazon.com Inc,Broadline Retail,NASDAQ/NGS (GLOBAL SELECT MARKET),2.974596398316277,1.852140164875993,4.0209407114766655,5.0877768347832,4.067312184813179,4.515371908644189,4.291638508089635,4.272237159798206,4.893378095656169,2.6476974589487203,4.557997211085933,3.498540316387652,3.114090399537147,4.298059065808373,4.216668477689133,2.639865287466923,5.930922525187355,3.7255246436626175,5.287440776433983,5.563360853194728
AMCR.N,Amcor PLC,Containers & Packaging,"NEW YORK STOCK EXCHANGE, INC.",0.8432043429968531,1.0430055232582485,1.0566600748869506,1.0740648986868746,1.068132258329532,0.6301753474923159,1.538107930766823,1.3752949374340602,1.3042749819130626,1.5659957137327163,1.2422606245089283,0.8788606323694467,0.7718366828645454,0.7208415552568345,0.7308004978305795,0.5028222029191785,0.677719520781944,0.6736281443110691,0.6561316310213258,0.6340304447497564
AMTM.N,Amentum Holdings Inc,Professional Services,"NEW YORK STOCK EXCHANGE, INC.",0.0,0.0,,,,,,,,,,,,,,,,,,
AEE.N,Ameren Corp,Multi-Utilities,"NEW YORK STOCK EXCHANGE, INC.",0.4658693306960568,0.6064740203535247,0.6416545980386176,0.602465710355292,0.6530635615249023,0.5855379207113725,0.551668018270187,0.515349670151828,0.44370145167258457,0.5020924222710754,0.41690029464879763,0.33530081390553307,0.3394123873630789,0.2875586506048233,0.2793832696586786,0.3114594856865599,0.5440069716996333,0.5644240040488923,0.57602672505861,0.5582200904229226
AEP.OQ,American Electric Power Company Inc,Electric Utilities,NASDAQ/NGS (GLOBAL SELECT MARKET),0.4417654531812916,0.5223729378523029,0.5116962265272554,0.5120562777607445,0.6153978296113044,0.5358095422314207,0.5590669044771207,0.48777816302906835,0.46388125588483714,0.49906328816114137,0.4041322077370865,0.3812666880938804,0.3819984474957394,0.342868724068574,0.34399588027488004,0.29928139518724395,0.4624089719050572,0.443400945784084,0.39453704418251684,0.3924751407212149
AXP.N,American Express Co,Consumer Finance,"NEW YORK STOCK EXCHANGE, INC.",0.5228610245384285,0.483475791245172,0.6720693006534092,0.5087448091646418,0.513644718072312,0.4317464028056961,0.4757318461086337,0.42671557888843437,0.4246966444848738,0.5982283175050125,0.6294162673186634,0.4200319403641106,0.3572987814512479,0.35221157521013846,0.3850344990703584,0.17067753858844806,0.4062529498811964,0.5659845482782535,0.5606995898057213,0.36431057656248717
AIG.N,American International Group Inc,Insurance,"NEW YORK STOCK EXCHANGE, INC.",0.0881934064116661,0.08997230296422253,0.07919773799366561,0.055615381042591144,0.08504604378890934,0.07086408542289993,0.10748523347169682,0.13463183096087616,0.15428982527370874,0.14947051772660358,0.13806840690070177,0.09498799515176812,0.07967034657158234,0.056667277328321455,0.023582620225251743,0.004908315669139883,0.141041762923554,0.19021249759232597,0.2076057842963082,0.21349713932400502
AMT.N,American Tower Corp,Specialized REITs,"NEW YORK STOCK EXCHANGE, INC.",1.5241463520382386,1.4680249581674096,1.9075322048594965,2.110962151557687,2.3783356409970655,2.1108733832849644,1.8421264083217168,1.4610585236756841,1.5263422914918494,1.8441778224864926,1.5529817007695552,2.1682153030807636,1.9265379814529755,1.9873020145796314,2.0360202629105797,1.4164067101519606,2.1206587066385074,1.841627214707997,1.2701095835665415,0.82250695248895
AWK.N,American Water Works Company Inc,Water Utilities,"NEW YORK STOCK EXCHANGE, INC.",0.8482115173948775,0.997380233745273,1.3148693801449665,1.1233066733687314,0.9793166971695618,0.7724144810526316,0.8376740245354687,0.6969117863932476,0.6219650726030973,0.5924740045475296,0.4993237447805031,0.44588561138356364,0.3784379867370862,0.3139617589001356,0.35307859635026584,0.2524568175529621,0.0,0.0,0.0,0.0
AMP.N,Ameriprise Financial Inc,Capital Markets,"NEW YORK STOCK EXCHANGE, INC.",0.21940253556038838,0.20859116191568253,0.19187472114274345,0.13820965669309093,0.13900565365229076,0.10599801637600571,0.16998710987367777,0.12540188722766968,0.12750536700665432,0.1627241112828439,0.15481065165587649,0.095675609951087,0.08488817439137764,0.10875514736842104,0.08701098353449942,0.052938828824507886,0.11699915965558913,0.12621417039461721,0.11005322930380902,0.0
AMGN.OQ,Amgen Inc,Biotechnology,NASDAQ/NGS (GLOBAL SELECT MARKET),1.5865736391351772,2.15198235075997,2.07173922950936,2.1263933289546926,2.399045777360611,1.867734736049747,1.5788559545801335,1.4011916726010616,1.713810445041638,1.7542697329333854,1.3025391304347826,1.2182036783270103,1.151662701760756,1.1928060810467738,1.4448174622468393,1.6598745436077635,1.458185538288054,2.3583779960151534,3.322472088967471,2.788379525960782
APH.N,Amphenol Corp,"Electronic Equipment, Instruments & Components","NEW YORK STOCK EXCHANGE, INC.",3.5888332122561475,2.95640786859104,3.5632977581834466,3.1734821727604583,2.9669730894188895,2.4304397973857377,2.6798321283499433,2.439166908821349,2.158704968857932,2.3837066512518073,2.288495772224121,1.9891131246065787,1.6923563053613708,2.2949028365004036,2.4601691422857472,1.4078124133755088,3.08939220166212,2.470592432293567,2.0355251960114615,2.471192882297616
