Identifier,Company Name,GICS Industry Name,Exchange Name,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004
MMM.N,3M Co,Industrial Conglomerates,"NEW YORK STOCK EXCHANGE, INC.",50580000000.0,46455000000.0,47072000000.0,47344000000.0,44659000000.0,36500000000.0,37987000000.0,32906000000.0,32883000000.0,31209000000.0,33550000000.0,33876000000.0,31616000000.0,30156000000.0,27250000000.0,25793000000.0,24694000000.0,21294000000.0,20541000000.0,20708000000.0
AOS.N,A O Smith Corp,Building Products,"NEW YORK STOCK EXCHANGE, INC.",3213900000.0,3332300000.0,3474400000.0,3160700000.0,3058000000.0,3071500000.0,3197400000.0,2891000000.0,2629200000.0,2515300000.0,2391500000.0,2278800000.0,2349000000.0,2110600000.0,1974500000.0,1928700000.0,1854400000.0,1839900000.0,1292700000.0,1314000000.0
AES.N,AES Corp,Independent Power and Renewable Electricity Producers,"NEW YORK STOCK EXCHANGE, INC.",44799000000.0,38363000000.0,32963000000.0,34603000000.0,33648000000.0,32521000000.0,33112000000.0,36124000000.0,36470000000.0,38966000000.0,40411000000.0,41830000000.0,45346000000.0,40511000000.0,39535000000.0,34806000000.0,34453000000.0,31274000000.0,28995000000.0,28923000000.0
AME.N,AMETEK Inc,Electrical Equipment,"NEW YORK STOCK EXCHANGE, INC.",15023533000.0,12431120000.0,11898187000.0,10357483000.0,9844559000.0,8662288000.0,7796064000.0,7100674000.0,6660450000.0,6420963000.0,5877902000.0,5190056000.0,4319490000.0,3818915000.0,3246032000.0,3055542000.0,2745700000.0,2130876000.0,1780603000.0,1420352000.0
ANSS.OQ,ANSYS Inc,Software,NASDAQ/NGS (GLOBAL SELECT MARKET),7322875000.0,6687945000.0,6324314000.0,5940590000.0,4838887000.0,3265964000.0,2941623000.0,2800526000.0,2729904000.0,2752879000.0,2722382000.0,2607417000.0,2448470000.0,2126876000.0,1920182000.0,1864514000.0,969292000.0,902696000.0,305509000.0,239646000.0
APA.OQ,APA Corp (US),"Oil, Gas & Consumable Fuels",NASDAQ/NGS (GLOBAL SELECT MARKET),15244000000.0,13147000000.0,13303000000.0,12746000000.0,18107000000.0,21582000000.0,21922000000.0,22519000000.0,25500000000.0,55952000000.0,61637000000.0,60737000000.0,52051000000.0,43425000000.0,28185743000.0,29186485000.0,28634651000.0,24308175000.0,19271796000.0,15502480000.0
T.N,AT&T Inc,Diversified Telecommunication Services,"NEW YORK STOCK EXCHANGE, INC.",407060000000.0,402853000000.0,551622000000.0,525761000000.0,551669000000.0,531864000000.0,444097000000.0,403821000000.0,402672000000.0,296834000000.0,277787000000.0,272315000000.0,270442000000.0,269391000000.0,268312000000.0,265245000000.0,275644000000.0,270634000000.0,145632000000.0,110265000000.0
ABBV.N,AbbVie Inc,Biotechnology,"NEW YORK STOCK EXCHANGE, INC.",134711000000.0,138805000000.0,146529000000.0,150565000000.0,89115000000.0,59352000000.0,70786000000.0,66099000000.0,53050000000.0,27513000000.0,29198000000.0,27008000000.0,19521000000.0,21134705000.0,0.0,0.0,0.0,0.0,0.0,0.0
ABT.N,Abbott Laboratories,Health Care Equipment & Supplies,"NEW YORK STOCK EXCHANGE, INC.",73214000000.0,74438000000.0,75196000000.0,72548000000.0,67887000000.0,67173000000.0,76250000000.0,52666000000.0,41247000000.0,41207000000.0,42953000000.0,67235000000.0,60276893000.0,60573852000.0,52581623000.0,42419204000.0,39713924000.0,36178172000.0,29141203000.0,28767494000.0
ACN.N,Accenture PLC,IT Services,"NEW YORK STOCK EXCHANGE, INC.",55932363000.0,51245305000.0,47263390000.0,43175843000.0,37078593000.0,29789880000.0,24449083000.0,22689890000.0,20609004000.0,18202647000.0,17930452000.0,16867049000.0,16665415000.0,15731510000.0,12835253000.0,12255734000.0,12398525000.0,10747162000.0,9497492000.0,8957352000.0
